capacity_mw,country,geopoint,latitude,longitude,parent,plant,region,status,subnational_unit,unit,url
350,Indonesia,"-2.82954,122.15514",-2.82954,122.15514,Eternal Tsingshan Group,Sulawesi Mining Power Station,Asia,Operating,Central Sulawesi,"Phase Iii, Unit 2",https://www.gem.wiki/Sulawesi_Mining_power_station
350,Indonesia,"-2.82738,122.15527",-2.82738,122.15527,Eternal Tsingshan Group,Sulawesi Mining Power Station,Asia,Operating,Central Sulawesi,"Phase Iv, Unit 1",https://www.gem.wiki/Sulawesi_Mining_power_station
200,Indonesia,"-4.8,119.9",-4.8,119.9,Bharat Heavy Electricals Ltd; Pt Star Vyobros,Sulawesi Star Power Station,Asia,Cancelled,South Sulawesi,,https://www.gem.wiki/Sulawesi_Star_power_station
50,Indonesia,"0.9427,122.94158",0.9427,122.94158,Toba Bara [60.0%]; Pt Toba Bara Sejahtra Tbk [20.0%]; State Power Investment Corp [20.0%],Sulbagut-1 Power Station,Asia,Operating,Gorontalo,Unit 2,https://www.gem.wiki/Sulbagut-1_power_station
100,Indonesia,"1.18571,124.47489",1.18571,124.47489,To Be Determined,Sulbagut-2 Power Station,Asia,Shelved,North Sulawesi,Unit 2,https://www.gem.wiki/Sulbagut-2_power_station
50,Indonesia,"0.8687,123.96431",0.8687,123.96431,To Be Determined,Sulbagut-3 Power Station,Asia,Cancelled,North Sulawesi,Unit 1,https://www.gem.wiki/Sulbagut-3_power_station
150,Indonesia,"-5.05743,103.83068",-5.05743,103.83068,Pt Sumberenergi Sakti Prima [55.0%]; Pt Adimas Puspita Serasi [25.0%]; Pt D&C Engineering Co [10.0%]; Pt Pln (Persero) [10.0%],Sumbagsel-1 Power Station,Asia,Pre-Permit,South Sumatra,Unit 1,https://www.gem.wiki/Sumbagsel-1_power_station
300,Indonesia,"-3.47667,103.99917",-3.47667,103.99917,China Shenhua Energy Co Ltd; Lion Power,Sumsel-1 Power Station,Asia,Construction,South Sumatra,Unit 2,https://www.gem.wiki/Sumsel-1_power_station
150,Indonesia,"-2.604,103.914",-2.604,103.914,Madhucon Projects Ltd,Sumsel-7 Power Station,Asia,Cancelled,South Sumatra,Unit 2,https://www.gem.wiki/Sumsel-7_power_station
65,Indonesia,"1.04414,104.13571",1.04414,104.13571,Pt Petra Unggul Sejahtera [70.0%]; Pt Intraco Penta [30.0%],Tanjung Kasam Power Station,Asia,Operating,Riau,Unit 1,https://www.gem.wiki/Tanjung_Kasam_power_station
100,Indonesia,"-5.52121,105.35348",-5.52121,105.35348,Pt Pln (Persero),Tarahan Power Station,Asia,Operating,Lampung,Unit 3,https://www.gem.wiki/Tarahan_power_station
200,Indonesia,"3.3,117.63333",3.3,117.63333,Pt Pln (Persero),Tarakan Power Station,Asia,Cancelled,North Kalimantan,,https://www.gem.wiki/Tarakan_power_station
250,Indonesia,"0.47889,127.98421",0.47889,127.98421,Zhejiang Huayou Cobalt Co [70.0%]; Tsingshan Holding Group Co Ltd [30.0%],Weda Bay Power Station,Asia,Operating,North Maluku,Unit 6,https://www.gem.wiki/Weda_Bay_power_station
65,Indonesia,"-1.53051,127.41898",-1.53051,127.41898,Xinxing Qiyun Investment Holdings Co Ltd [40.0%]; Pt Trimegah Bangun Persada [30.0%]; Harita Group [20.0%]; Pt Gane Permai Sentosa [10.0%],Xinxing Ductile Iron Pipes Power Station,Asia,Shelved,Maluku,Unit 4,https://www.gem.wiki/Xinxing_Ductile_Iron_Pipes_power_station
65,Indonesia,"-3.92653,115.10581",-3.92653,115.10581,Pt Pln (Persero),Asam-Asam Power Station,Asia,Operating,South Kalimantan,Unit B-3,https://www.gem.wiki/Asam-Asam_power_station
65,Indonesia,"-3.92653,115.10581",-3.92653,115.10581,Pt Pln (Persero),Asam-Asam Power Station,Asia,Operating,South Kalimantan,Unit B-4,https://www.gem.wiki/Asam-Asam_power_station
135,Indonesia,"-8.4476,115.12221",-8.4476,115.12221,To Be Determined,Bali Power Station,Asia,Cancelled,Bali,,https://www.gem.wiki/Bali_Power_Station
30,Indonesia,"-6.9705,107.60578",-6.9705,107.60578,Pt Panasia Indosyntec Tbk,Bandung Indosyntec Power Station,Asia,Operating,West Java,Unit 1,https://www.gem.wiki/Bandung_Indosyntec_power_station
50,Indonesia,"-2.07925,106.14962",-2.07925,106.14962,Pt Pln (Persero),Bangka-1A Power Station,Asia,Cancelled,Bangka-Belitung,Unit 1,https://www.gem.wiki/Bangka-1A_power_station
600,Indonesia,"-3.83868,103.80413",-3.83868,103.80413,China Huadian Group Corp [55.0%]; Pt Bukit Asam Tbk [45.0%],Bangko Tengah Power Station,Asia,Construction,South Sumatra,Unit 1,https://www.gem.wiki/Bangko_Tengah_power_station
600,Indonesia,"-3.83868,103.80413",-3.83868,103.80413,China Huadian Group Corp [55.0%]; Pt Bukit Asam Tbk [45.0%],Bangko Tengah Power Station,Asia,Construction,South Sumatra,Unit 2,https://www.gem.wiki/Bangko_Tengah_power_station
